incident_id,latitude,longitude,area_name,crime_type,severity,time_of_day,date
INC00001,19.030714,73.032475,"Juhu Nagar, Nerul",Chain Snatching,3,Night (21-6),2024-12-14
INC00002,19.009744,73.022658,Nerul Sector 50 (Seawoods),Assault,4,Morning (6-12),2024-04-09
INC00003,19.03778,73.01083,Nerul West,Chain Snatching,4,Evening (17-21),2025-01-22
INC00004,19.040916,73.013635,Nerul Sector 20,Domestic Violence (reported outdoors),3,Evening (17-21),2025-12-22
INC00005,19.036867,73.008823,Nerul Sector 20,Theft,1,Night (21-6),2024-04-13
INC00006,19.033224,73.029085,Nerul East,Assault,4,Evening (17-21),2024-08-02
INC00007,19.014115,73.020468,Nerul Sector 50 (Seawoods),Eve Teasing / Harassment,3,Evening (17-21),2024-09-07
INC00008,19.027698,73.01916,Nerul Sector 23,Kidnapping Attempt,5,Night (21-6),2024-02-27
INC00009,19.020574,73.02544,Nerul Sector 40,Robbery,4,Morning (6-12),2025-08-03
INC00010,19.034201,73.016494,Nerul Lake Garden,Suspicious Activity / Loitering,1,Afternoon (12-17),2024-09-09
INC00011,19.030312,73.018976,Nerul Sector 3,Robbery,5,Evening (17-21),2024-05-21
INC00012,19.036948,73.025046,Nerul Sector 8,Eve Teasing / Harassment,3,Evening (17-21),2025-11-27
INC00013,19.045771,73.026078,DY Patil Stadium Area,Domestic Violence (reported outdoors),4,Evening (17-21),2025-07-20
INC00014,19.035342,73.016616,Nerul Railway Station Area,Kidnapping Attempt,5,Night (21-6),2024-12-14
INC00015,19.043848,73.011265,Nerul Sector 21,Chain Snatching,3,Night (21-6),2024-07-01
INC00016,19.040301,73.025964,Nerul Sector 8,Theft,3,Afternoon (12-17),2024-06-14
INC00017,19.033628,73.020379,Nerul Sector 3,Chain Snatching,3,Evening (17-21),2024-04-24
INC00018,19.03803,73.012653,Nerul West,Theft,2,Morning (6-12),2025-08-03
INC00019,19.037185,73.010888,Nerul Sector 20,Eve Teasing / Harassment,2,Morning (6-12),2025-05-01
INC00020,19.027321,73.017221,Nerul Sector 3,Domestic Violence (reported outdoors),4,Night (21-6),2025-07-06
INC00021,19.031704,73.007192,Nerul Sector 28,Assault,5,Night (21-6),2025-04-07
INC00022,19.043483,73.010512,Nerul Sector 21,Chain Snatching,3,Evening (17-21),2024-01-08
INC00023,19.042163,73.007471,Nerul Sector 20,Eve Teasing / Harassment,1,Night (21-6),2024-03-13
INC00024,19.034904,73.024352,Nerul Sector 8,Molestation,5,Night (21-6),2025-08-07
INC00025,19.031944,73.021784,Nerul Balaji Mandir Area,Robbery,4,Morning (6-12),2025-11-05
INC00026,19.043834,73.026289,DY Patil Stadium Area,Chain Snatching,2,Morning (6-12),2024-12-13
INC00027,19.043489,73.011522,Nerul Sector 21,Suspicious Activity / Loitering,1,Evening (17-21),2024-10-12
INC00028,19.027998,73.033386,"Juhu Nagar, Nerul",Suspicious Activity / Loitering,1,Morning (6-12),2025-07-07
INC00029,19.037652,73.023111,Nerul Railway Station Area,Molestation,4,Evening (17-21),2025-05-07
INC00030,19.032917,73.01122,Nerul Sector 28,Stalking,4,Morning (6-12),2025-02-03
INC00031,19.015912,73.021281,Nerul Sector 50 (Seawoods),Theft,4,Night (21-6),2025-07-23
INC00032,19.031238,73.020374,Nerul Balaji Mandir Area,Chain Snatching,2,Night (21-6),2024-02-28
INC00033,19.040473,73.015723,Nerul Sector 19A,Kidnapping Attempt,5,Morning (6-12),2025-06-04
INC00034,19.043311,73.007548,Nerul Sector 20,Eve Teasing / Harassment,2,Evening (17-21),2025-08-06
INC00035,19.018631,73.019318,Nerul Sector 40,Eve Teasing / Harassment,3,Night (21-6),2025-08-01
INC00036,19.035531,73.021086,Nerul Sector 8,Assault,5,Afternoon (12-17),2024-05-14
INC00037,19.011158,73.020932,Seawoods Grand Central,Eve Teasing / Harassment,1,Evening (17-21),2025-07-30
INC00038,19.042086,73.011705,Nerul Sector 21,Theft,2,Night (21-6),2024-03-11
INC00039,19.016956,73.020262,Nerul Sector 40,Kidnapping Attempt,5,Evening (17-21),2025-10-31
INC00040,19.033063,73.025537,Nerul Sector 8,Theft,2,Night (21-6),2024-05-17
INC00041,19.009423,73.015856,Nerul Sector 50 (Seawoods),Kidnapping Attempt,5,Afternoon (12-17),2025-09-11
INC00042,19.031741,73.005629,Nerul Sector 28,Theft,3,Afternoon (12-17),2024-02-22
INC00043,19.041574,73.013635,Nerul Sector 20,Chain Snatching,2,Evening (17-21),2024-05-13
INC00044,19.009793,73.018535,Nerul Sector 50 (Seawoods),Robbery,4,Morning (6-12),2025-12-08
INC00045,19.033365,73.027177,Nerul Sector 22,Domestic Violence (reported outdoors),3,Evening (17-21),2024-02-12
INC00046,19.010417,73.020965,Seawoods Grand Central,Chain Snatching,3,Afternoon (12-17),2024-09-12
INC00047,19.044329,73.014479,Nerul Sector 21,Robbery,4,Night (21-6),2024-08-30
INC00048,19.03181,73.023486,Nerul Sector 23,Robbery,3,Afternoon (12-17),2024-12-06
INC00049,19.047418,73.029913,DY Patil Stadium Area,Molestation,4,Afternoon (12-17),2025-12-19
INC00050,19.04456,73.01031,Nerul Sector 21,Suspicious Activity / Loitering,1,Afternoon (12-17),2025-04-16
INC00051,19.033442,73.012363,Nerul West,Molestation,4,Morning (6-12),2024-07-16
INC00052,19.033626,73.030915,Nerul East,Theft,2,Evening (17-21),2025-02-13
INC00053,19.028649,73.013221,Nerul Sector 3,Theft,2,Evening (17-21),2024-09-28
INC00054,19.036667,73.015177,Nerul Sector 19A,Assault,5,Evening (17-21),2025-06-07
INC00055,19.044582,73.014613,Nerul Sector 21,Theft,1,Night (21-6),2024-01-02
INC00056,19.040405,73.023308,Nerul Sector 8,Molestation,5,Evening (17-21),2025-11-11
INC00057,19.037485,73.017807,Nerul Lake Garden,Eve Teasing / Harassment,2,Evening (17-21),2025-11-13
INC00058,19.043609,73.028578,DY Patil Stadium Area,Kidnapping Attempt,5,Afternoon (12-17),2025-11-11
INC00059,19.036419,73.031222,Nerul East,Domestic Violence (reported outdoors),3,Evening (17-21),2024-01-01
INC00060,19.009795,73.016939,Seawoods Grand Central,Domestic Violence (reported outdoors),3,Evening (17-21),2025-03-28
INC00061,19.030089,73.01035,Nerul Sector 28,Stalking,2,Afternoon (12-17),2025-11-10
INC00062,19.033247,73.020116,Nerul Lake Garden,Molestation,4,Afternoon (12-17),2024-07-22
INC00063,19.029195,73.022459,Nerul Sector 22,Suspicious Activity / Loitering,1,Evening (17-21),2025-10-06
INC00064,19.031747,73.007072,Nerul Sector 28,Robbery,4,Morning (6-12),2025-12-05
INC00065,19.037041,73.022584,Nerul Railway Station Area,Eve Teasing / Harassment,3,Afternoon (12-17),2025-12-13
INC00066,19.036716,73.023459,Nerul Sector 8,Eve Teasing / Harassment,4,Morning (6-12),2025-04-20
INC00067,19.040903,73.023764,Nerul Sector 8,Suspicious Activity / Loitering,3,Night (21-6),2025-07-15
INC00068,19.033178,73.031949,"Juhu Nagar, Nerul",Suspicious Activity / Loitering,2,Afternoon (12-17),2024-09-10
INC00069,19.014627,73.01917,Nerul Sector 50 (Seawoods),Molestation,5,Evening (17-21),2025-12-31
INC00070,19.009376,73.016187,Seawoods Grand Central,Kidnapping Attempt,4,Morning (6-12),2024-08-24
INC00071,19.036552,73.029651,Nerul East,Eve Teasing / Harassment,3,Evening (17-21),2025-07-09
INC00072,19.029326,73.027655,"Juhu Nagar, Nerul",Robbery,5,Night (21-6),2025-08-21
INC00073,19.036754,73.021825,Nerul Railway Station Area,Robbery,5,Morning (6-12),2024-12-26
INC00074,19.013528,73.020328,Seawoods Grand Central,Robbery,4,Evening (17-21),2024-10-06
INC00075,19.044885,73.026111,DY Patil Stadium Area,Robbery,4,Night (21-6),2024-05-10
INC00076,19.026216,73.016152,Nerul Sector 3,Domestic Violence (reported outdoors),2,Morning (6-12),2025-03-14
INC00077,19.035935,73.021954,Nerul Sector 22,Theft,3,Evening (17-21),2025-04-10
INC00078,19.0352,73.019537,Nerul Lake Garden,Theft,3,Afternoon (12-17),2024-03-24
INC00079,19.030155,73.022315,Nerul Balaji Mandir Area,Assault,4,Night (21-6),2025-10-29
INC00080,19.041834,73.019297,Nerul Sector 19A,Molestation,3,Evening (17-21),2024-09-01
INC00081,19.032788,73.021415,Nerul Sector 22,Molestation,5,Night (21-6),2025-01-12
INC00082,19.028847,73.02471,Nerul Sector 23,Eve Teasing / Harassment,2,Night (21-6),2024-04-20
INC00083,19.037331,73.020306,Nerul Railway Station Area,Robbery,5,Night (21-6),2024-07-22
INC00084,19.041237,73.013645,Nerul Sector 20,Molestation,3,Night (21-6),2024-11-04
INC00085,19.04787,73.014527,Nerul Sector 21,Chain Snatching,3,Evening (17-21),2025-11-08
INC00086,19.031552,73.01118,Nerul West,Chain Snatching,4,Night (21-6),2024-04-18
INC00087,19.048686,73.028085,DY Patil Stadium Area,Suspicious Activity / Loitering,1,Evening (17-21),2025-06-18
INC00088,19.013427,73.022357,Nerul Sector 50 (Seawoods),Suspicious Activity / Loitering,3,Evening (17-21),2025-08-29
INC00089,19.011078,73.016964,Nerul Sector 50 (Seawoods),Eve Teasing / Harassment,3,Night (21-6),2024-09-06
INC00090,19.030559,73.031346,"Juhu Nagar, Nerul",Assault,3,Evening (17-21),2024-11-28
INC00091,19.0279,73.019839,Nerul Sector 23,Theft,2,Afternoon (12-17),2025-09-02
INC00092,19.012946,73.019133,Nerul Sector 50 (Seawoods),Molestation,4,Afternoon (12-17),2025-02-20
INC00093,19.034441,73.019923,Nerul Balaji Mandir Area,Suspicious Activity / Loitering,2,Evening (17-21),2024-01-18
INC00094,19.038854,73.010235,Nerul Sector 20,Molestation,4,Night (21-6),2025-01-12
INC00095,19.034428,73.02075,Nerul Balaji Mandir Area,Kidnapping Attempt,5,Evening (17-21),2025-04-09
INC00096,19.010953,73.016844,Nerul Sector 50 (Seawoods),Molestation,5,Morning (6-12),2025-07-02
INC00097,19.025532,73.022909,Nerul Sector 23,Theft,2,Night (21-6),2024-07-17
INC00098,19.00932,73.014936,Seawoods Grand Central,Chain Snatching,3,Afternoon (12-17),2024-02-25
INC00099,19.028337,73.020553,Nerul Sector 3,Suspicious Activity / Loitering,1,Night (21-6),2025-08-10
INC00100,19.011255,73.017024,Seawoods Grand Central,Stalking,2,Afternoon (12-17),2025-05-04
INC00101,19.048077,73.013206,Nerul Sector 21,Eve Teasing / Harassment,1,Afternoon (12-17),2025-07-30
INC00102,19.008181,73.015486,Seawoods Grand Central,Kidnapping Attempt,5,Evening (17-21),2025-09-25
INC00103,19.020206,73.022043,Nerul Sector 40,Suspicious Activity / Loitering,1,Night (21-6),2025-03-15
INC00104,19.012049,73.013982,Seawoods Grand Central,Eve Teasing / Harassment,2,Evening (17-21),2024-09-27
INC00105,19.037756,73.008391,Nerul Sector 20,Eve Teasing / Harassment,2,Morning (6-12),2025-04-06
INC00106,19.03233,73.019852,Nerul Balaji Mandir Area,Theft,3,Morning (6-12),2024-08-27
INC00107,19.014803,73.02,Nerul Sector 50 (Seawoods),Molestation,5,Morning (6-12),2024-08-18
INC00108,19.036267,73.027113,Nerul Sector 22,Eve Teasing / Harassment,1,Afternoon (12-17),2024-11-10
INC00109,19.011013,73.01725,Seawoods Grand Central,Theft,3,Night (21-6),2025-05-27
INC00110,19.02995,73.013644,Nerul Sector 3,Chain Snatching,4,Night (21-6),2025-09-10
INC00111,19.008707,73.016831,Nerul Sector 50 (Seawoods),Domestic Violence (reported outdoors),3,Night (21-6),2025-11-19
INC00112,19.01311,73.021105,Nerul Sector 50 (Seawoods),Stalking,5,Evening (17-21),2025-03-28
INC00113,19.009952,73.019683,Nerul Sector 50 (Seawoods),Suspicious Activity / Loitering,1,Evening (17-21),2025-02-22
INC00114,19.035068,73.013337,Nerul Lake Garden,Stalking,3,Evening (17-21),2025-05-22
INC00115,19.012801,73.016704,Seawoods Grand Central,Kidnapping Attempt,4,Evening (17-21),2024-11-18
INC00116,19.011086,73.022761,Nerul Sector 50 (Seawoods),Robbery,4,Night (21-6),2025-07-09
INC00117,19.029306,73.027501,"Juhu Nagar, Nerul",Assault,5,Evening (17-21),2024-02-22
INC00118,19.028136,73.005048,Nerul Sector 28,Theft,3,Night (21-6),2025-05-11
INC00119,19.041731,73.01504,Nerul Sector 21,Molestation,4,Evening (17-21),2024-01-15
INC00120,19.029264,73.014798,Nerul Sector 3,Eve Teasing / Harassment,3,Night (21-6),2025-10-25
INC00121,19.032987,73.026233,Nerul Sector 22,Kidnapping Attempt,5,Evening (17-21),2025-05-09
INC00122,19.03195,73.02241,Nerul Balaji Mandir Area,Robbery,4,Night (21-6),2025-06-04
INC00123,19.035912,73.02271,Nerul Sector 22,Robbery,4,Night (21-6),2025-06-03
INC00124,19.015064,73.017263,Nerul Sector 50 (Seawoods),Theft,4,Night (21-6),2025-04-02
INC00125,19.029875,73.01566,Nerul Sector 3,Kidnapping Attempt,5,Evening (17-21),2024-11-25
INC00126,19.033846,73.00591,Nerul Sector 28,Robbery,4,Night (21-6),2025-02-24
INC00127,19.038345,73.015484,Nerul Sector 19A,Robbery,5,Night (21-6),2025-10-29
INC00128,19.032963,73.020796,Nerul Sector 22,Kidnapping Attempt,5,Night (21-6),2025-03-26
INC00129,19.045708,73.013655,Nerul Sector 21,Stalking,4,Night (21-6),2024-06-07
INC00130,19.040256,73.014754,Nerul Sector 20,Assault,5,Evening (17-21),2024-12-02
INC00131,19.02904,73.015533,Nerul Sector 3,Suspicious Activity / Loitering,1,Evening (17-21),2024-08-28
INC00132,19.015479,73.019474,Seawoods Grand Central,Robbery,3,Night (21-6),2025-12-21
INC00133,19.045049,73.015552,Nerul Sector 21,Chain Snatching,2,Evening (17-21),2024-02-27
INC00134,19.010368,73.016945,Seawoods Grand Central,Molestation,5,Evening (17-21),2024-07-03
INC00135,19.025401,73.021876,Nerul Sector 23,Robbery,4,Evening (17-21),2025-08-20
INC00136,19.030858,73.025603,Nerul Sector 22,Suspicious Activity / Loitering,1,Night (21-6),2025-04-21
INC00137,19.012921,73.014764,Seawoods Grand Central,Suspicious Activity / Loitering,1,Night (21-6),2024-11-02
INC00138,19.046523,73.026655,DY Patil Stadium Area,Theft,2,Night (21-6),2025-05-09
INC00139,19.043398,73.014575,Nerul Sector 21,Domestic Violence (reported outdoors),3,Night (21-6),2024-10-29
INC00140,19.037724,73.020966,Nerul Railway Station Area,Theft,1,Evening (17-21),2025-12-03
INC00141,19.043085,73.017661,Nerul Sector 19A,Theft,2,Evening (17-21),2024-12-26
INC00142,19.019093,73.023967,Nerul Sector 40,Stalking,2,Night (21-6),2025-10-23
INC00143,19.038271,73.015227,Nerul Sector 19A,Domestic Violence (reported outdoors),3,Night (21-6),2024-04-02
INC00144,19.010114,73.016824,Seawoods Grand Central,Molestation,4,Night (21-6),2025-01-09
INC00145,19.037014,73.02118,Nerul Sector 8,Stalking,4,Night (21-6),2025-05-08
INC00146,19.013472,73.01621,Seawoods Grand Central,Eve Teasing / Harassment,3,Night (21-6),2024-05-24
INC00147,19.020881,73.024794,Nerul Sector 40,Robbery,4,Morning (6-12),2025-02-08
INC00148,19.032016,73.016689,Nerul Railway Station Area,Assault,4,Evening (17-21),2025-10-15
INC00149,19.031867,73.007871,Nerul West,Chain Snatching,3,Night (21-6),2024-08-14
INC00150,19.041583,73.010714,Nerul Sector 20,Theft,3,Morning (6-12),2024-02-16
INC00151,19.038235,73.015641,Nerul Sector 19A,Eve Teasing / Harassment,2,Night (21-6),2024-05-18
INC00152,19.034629,73.029364,Nerul East,Kidnapping Attempt,5,Evening (17-21),2024-06-07
INC00153,19.046239,73.02967,DY Patil Stadium Area,Domestic Violence (reported outdoors),4,Night (21-6),2024-10-13
INC00154,19.041322,73.013438,Nerul Sector 19A,Suspicious Activity / Loitering,1,Night (21-6),2024-04-11
INC00155,19.035356,73.013823,Nerul West,Assault,3,Evening (17-21),2024-07-13
INC00156,19.049092,73.016594,Nerul Sector 21,Eve Teasing / Harassment,2,Evening (17-21),2025-09-03
INC00157,19.030305,73.018368,Nerul Railway Station Area,Stalking,3,Morning (6-12),2025-07-21
INC00158,19.030691,73.010504,Nerul Sector 28,Molestation,4,Night (21-6),2025-09-02
INC00159,19.032118,73.023572,Nerul Railway Station Area,Stalking,3,Night (21-6),2024-04-22
INC00160,19.030954,73.018566,Nerul Railway Station Area,Molestation,4,Morning (6-12),2024-09-28
INC00161,19.036814,73.015068,Nerul Sector 19A,Eve Teasing / Harassment,1,Evening (17-21),2025-01-05
INC00162,19.037749,73.022616,Nerul Sector 8,Molestation,4,Night (21-6),2025-11-05
INC00163,19.035413,73.024147,Nerul Sector 8,Chain Snatching,3,Night (21-6),2025-02-15
INC00164,19.046489,73.026922,DY Patil Stadium Area,Suspicious Activity / Loitering,1,Night (21-6),2024-11-25
INC00165,19.029525,73.0227,Nerul Sector 22,Domestic Violence (reported outdoors),3,Evening (17-21),2025-09-03
INC00166,19.035359,73.023044,Nerul Sector 8,Robbery,4,Night (21-6),2024-04-27
INC00167,19.031767,73.01472,Nerul Sector 3,Suspicious Activity / Loitering,1,Evening (17-21),2025-04-09
INC00168,19.034328,73.024761,Nerul East,Robbery,4,Night (21-6),2025-01-18
INC00169,19.034495,73.024294,Nerul Sector 22,Eve Teasing / Harassment,1,Morning (6-12),2024-04-08
INC00170,19.037494,73.010451,Nerul West,Domestic Violence (reported outdoors),3,Night (21-6),2025-02-24
INC00171,19.037989,73.013529,Nerul West,Robbery,3,Night (21-6),2025-09-06
INC00172,19.010313,73.018123,Seawoods Grand Central,Molestation,4,Night (21-6),2024-08-17
INC00173,19.044301,73.01445,Nerul Sector 21,Eve Teasing / Harassment,2,Evening (17-21),2025-03-15
INC00174,19.033796,73.019547,Nerul Sector 3,Domestic Violence (reported outdoors),2,Evening (17-21),2025-11-04
INC00175,19.008732,73.017186,Nerul Sector 50 (Seawoods),Theft,3,Evening (17-21),2024-07-04
INC00176,19.033531,73.023706,Nerul Sector 22,Stalking,2,Morning (6-12),2025-06-27
INC00177,19.02901,73.007629,Nerul Sector 28,Stalking,3,Evening (17-21),2024-11-28
INC00178,19.043567,73.008245,Nerul Sector 20,Domestic Violence (reported outdoors),2,Night (21-6),2024-10-05
INC00179,19.031296,73.029885,"Juhu Nagar, Nerul",Suspicious Activity / Loitering,2,Afternoon (12-17),2025-06-08
INC00180,19.044261,73.010887,Nerul Sector 21,Domestic Violence (reported outdoors),4,Evening (17-21),2024-11-11
INC00181,19.037564,73.019576,Nerul Sector 19A,Chain Snatching,2,Afternoon (12-17),2024-08-04
INC00182,19.035113,73.022816,Nerul Sector 22,Eve Teasing / Harassment,1,Evening (17-21),2025-03-16
INC00183,19.025033,73.021261,Nerul Sector 23,Molestation,4,Morning (6-12),2024-02-13
INC00184,19.04115,73.030369,DY Patil Stadium Area,Assault,5,Evening (17-21),2025-12-27
INC00185,19.043316,73.02624,DY Patil Stadium Area,Assault,4,Night (21-6),2025-09-24
INC00186,19.032656,73.033358,"Juhu Nagar, Nerul",Eve Teasing / Harassment,3,Night (21-6),2024-09-06
INC00187,19.045711,73.027192,DY Patil Stadium Area,Robbery,4,Night (21-6),2024-08-14
INC00188,19.038733,73.013111,Nerul Lake Garden,Eve Teasing / Harassment,2,Night (21-6),2024-12-23
INC00189,19.036819,73.012552,Nerul West,Stalking,3,Morning (6-12),2024-09-19
INC00190,19.027388,73.005223,Nerul Sector 28,Eve Teasing / Harassment,2,Night (21-6),2025-10-05
INC00191,19.033712,73.02251,Nerul Balaji Mandir Area,Domestic Violence (reported outdoors),4,Night (21-6),2025-08-01
INC00192,19.039414,73.017518,Nerul Lake Garden,Stalking,4,Morning (6-12),2025-03-28
