zone_id,center_lat,center_lon,incident_count,raw_danger_score,safety_score_0to100
10572_40573,19.0305,73.0323,2,4.21,91.25
10560_40568,19.0089,73.0233,1,0.84,98.89
10576_40561,19.0377,73.0107,7,13.76,69.52
10578_40563,19.0413,73.0143,14,24.35,45.45
10576_40560,19.0377,73.0089,7,16.75,62.72
10574_40571,19.0341,73.0287,12,23.95,46.35
10563_40566,19.0143,73.0197,5,12.94,71.39
10570_40566,19.0269,73.0197,8,19.16,57.26
10566_40569,19.0197,73.0251,4,6.89,85.15
10574_40564,19.0341,73.0161,8,13.4,70.34
10572_40566,19.0305,73.0197,11,25.14,43.66
10576_40569,19.0377,73.0251,9,19.01,57.58
10580_40570,19.0449,73.0269,5,10.43,77.09
10575_40564,19.0359,73.0161,7,18.39,59.0
10579_40561,19.0431,73.0107,5,6.13,86.86
10577_40569,19.0395,73.0251,5,15.73,65.04
10574_40566,19.0341,73.0197,21,41.28,6.96
10576_40562,19.0377,73.0125,10,19.91,55.54
10570_40565,19.0269,73.0179,6,9.66,78.85
10573_40559,19.0323,73.0071,8,18.55,58.64
10578_40559,19.0413,73.0071,2,1.03,98.46
10574_40569,19.0341,73.0251,15,39.9,10.11
10573_40567,19.0323,73.0215,10,28.53,35.96
10579_40570,19.0431,73.0269,3,10.38,77.2
10571_40574,19.0287,73.0341,1,0.5,99.67
10576_40568,19.0377,73.0233,10,22.04,50.71
10573_40561,19.0323,73.0107,8,16.62,63.03
10564_40567,19.0161,73.0215,6,14.11,68.74
10578_40564,19.0413,73.0161,6,12.33,72.79
10579_40559,19.0431,73.0071,2,2.62,94.86
10565_40566,19.0179,73.0197,3,8.21,82.15
10575_40567,19.0359,73.0215,13,24.64,44.8
10561_40567,19.0107,73.0215,8,16.06,64.31
10578_40562,19.0413,73.0125,13,28.3,36.47
10564_40566,19.0161,73.0197,8,23.79,46.72
10573_40569,19.0323,73.0251,8,12.15,73.18
10560_40564,19.0089,73.0161,9,18.82,58.01
10573_40558,19.0323,73.0053,2,1.26,97.94
10560_40565,19.0089,73.0179,8,18.28,59.26
10574_40570,19.0341,73.0269,4,10.67,76.55
10580_40563,19.0449,73.0143,9,14.88,66.99
10573_40568,19.0323,73.0233,18,44.34,0.0
10581_40572,19.0467,73.0305,2,5.7,87.85
10580_40561,19.0449,73.0107,5,5.39,88.56
10574_40562,19.0341,73.0125,10,14.82,67.13
10574_40572,19.0341,73.0305,4,5.7,87.84
10571_40562,19.0287,73.0125,1,1.0,98.53
10575_40563,19.0359,73.0143,6,12.75,71.83
10578_40568,19.0413,73.0233,3,10.66,76.57
10576_40565,19.0377,73.0179,8,17.81,60.33
10579_40571,19.0431,73.0287,7,15.21,66.22
10575_40572,19.0359,73.0305,2,3.48,92.91
10572_40561,19.0305,73.0107,4,12.36,72.71
10571_40568,19.0287,73.0233,3,4.96,89.54
10575_40568,19.0359,73.0233,17,39.33,11.4
10573_40573,19.0323,73.0323,3,2.99,94.01
10571_40570,19.0287,73.0269,6,13.13,70.96
10570_40564,19.0269,73.0161,2,2.15,95.92
10575_40566,19.0359,73.0197,13,29.31,34.18
10572_40567,19.0305,73.0215,15,38.24,13.89
10578_40566,19.0413,73.0197,5,4.78,89.93
10571_40569,19.0287,73.0251,3,3.58,92.66
10576_40566,19.0377,73.0197,15,28.97,34.96
10582_40563,19.0485,73.0143,6,9.51,79.19
10582_40571,19.0485,73.0287,2,4.75,90.0
10563_40567,19.0143,73.0215,6,12.21,73.05
10561_40564,19.0107,73.0161,7,17.17,61.78
10572_40572,19.0305,73.0305,2,2.77,94.52
10571_40566,19.0287,73.0197,7,13.09,71.05
10562_40566,19.0125,73.0197,7,15.18,66.3
10577_40561,19.0395,73.0107,10,19.87,55.63
10574_40567,19.0341,73.0215,10,21.89,51.04
10569_40568,19.0251,73.0233,1,1.09,98.33
10560_40563,19.0089,73.0143,5,14.9,66.94
10561_40565,19.0107,73.0179,4,8.72,80.98
10582_40562,19.0485,73.0125,1,0.6,99.45
10566_40567,19.0197,73.0215,2,5.09,89.24
10562_40563,19.0125,73.0143,5,8.85,80.68
10573_40566,19.0323,73.0197,13,28.14,36.83
10575_40570,19.0359,73.0269,15,26.45,40.68
10572_40563,19.0305,73.0143,1,4.84,89.8
10562_40567,19.0125,73.0215,2,6.29,86.52
10561_40566,19.0107,73.0197,7,12.45,72.51
10575_40562,19.0359,73.0125,1,2.35,95.46
10562_40564,19.0125,73.0161,9,22.38,49.94
10561_40568,19.0107,73.0233,1,4.3,91.04
10571_40558,19.0287,73.0053,8,18.38,59.02
10571_40563,19.0287,73.0143,2,7.5,83.76
10573_40570,19.0323,73.0269,15,30.89,30.58
10563_40565,19.0143,73.0179,8,22.35,50.01
10572_40564,19.0305,73.0161,10,16.37,63.6
10574_40558,19.0341,73.0053,1,3.32,93.25
10576_40564,19.0377,73.0161,13,28.63,35.72
10577_40563,19.0395,73.0143,7,12.18,73.11
10571_40564,19.0287,73.0161,5,6.47,86.09
10580_40564,19.0449,73.0161,4,6.04,87.08
10569_40567,19.0251,73.0215,5,7.92,82.81
10572_40569,19.0305,73.0251,10,24.1,46.01
10581_40570,19.0467,73.0269,7,11.94,73.66
10579_40563,19.0431,73.0143,5,10.41,77.13
10576_40567,19.0377,73.0215,10,25.63,42.53
10579_40565,19.0431,73.0179,6,13.73,69.59
10566_40568,19.0197,73.0233,4,10.04,77.98
10563_40564,19.0143,73.0161,12,21.2,52.61
10567_40569,19.0215,73.0251,4,6.55,85.92
10573_40564,19.0323,73.0161,5,12.03,73.46
10578_40561,19.0413,73.0107,6,10.43,77.09
10582_40564,19.0485,73.0161,3,9.17,79.97
10572_40565,19.0305,73.0179,15,32.04,27.96
10576_40563,19.0377,73.0143,14,29.43,33.9
10573_40563,19.0323,73.0143,2,1.55,97.28
10574_40568,19.0341,73.0233,14,24.08,46.06
10571_40559,19.0287,73.0071,6,10.2,77.62
10579_40560,19.0431,73.0089,4,6.04,87.07
10578_40572,19.0413,73.0305,1,5.94,87.3
10573_40574,19.0323,73.0341,1,1.8,96.71
10577_40562,19.0395,73.0125,9,24.2,45.79
10570_40558,19.0269,73.0053,3,8.06,82.49
10577_40565,19.0395,73.0179,7,15.26,66.11
10575_40565,19.0359,73.0179,10,18.16,59.53
10578_40560,19.0413,73.0089,7,18.95,57.73
10562_40565,19.0125,73.0179,5,17.02,62.12
10572_40570,19.0305,73.0269,8,14.9,66.93
10565_40567,19.0179,73.0215,3,4.26,91.12
10572_40571,19.0305,73.0287,7,13.02,71.2
10577_40567,19.0395,73.0215,1,3.25,93.43
10578_40570,19.0413,73.0269,2,5.1,89.21
10563_40570,19.0143,73.0269,3,5.07,89.29
10573_40560,19.0323,73.0089,5,7.36,84.07
10571_40565,19.0287,73.0179,2,4.23,91.19
10571_40561,19.0287,73.0107,3,7.32,84.16
10581_40571,19.0467,73.0287,2,6.14,86.84
10570_40570,19.0269,73.0269,4,8.16,82.26
10578_40565,19.0413,73.0179,3,2.9,94.22
10570_40572,19.0269,73.0305,7,16.51,63.27
10570_40573,19.0269,73.0323,6,11.45,74.77
10572_40568,19.0305,73.0233,15,30.41,31.67
10571_40567,19.0287,73.0215,5,8.53,81.42
10579_40562,19.0431,73.0125,10,17.26,61.57
10579_40572,19.0431,73.0305,5,7.61,83.51
10572_40560,19.0305,73.0089,4,9.67,78.82
10580_40565,19.0449,73.0179,2,4.68,90.16
10573_40571,19.0323,73.0287,5,6.55,85.91
10574_40573,19.0341,73.0323,2,3.75,92.28
10564_40569,19.0161,73.0251,4,7.52,83.71
10570_40569,19.0269,73.0251,2,3.1,93.76
10570_40568,19.0269,73.0233,4,6.01,87.15
10563_40563,19.0143,73.0143,5,7.83,83.01
10575_40569,19.0359,73.0251,13,29.73,33.21
10573_40565,19.0323,73.0179,16,31.08,30.16
10560_40566,19.0089,73.0197,4,2.95,94.11
10575_40559,19.0359,73.0071,5,13.65,69.77
10574_40561,19.0341,73.0107,5,9.87,78.38
10579_40566,19.0431,73.0197,2,5.37,88.61
10573_40572,19.0323,73.0305,11,17.89,60.13
10572_40557,19.0305,73.0035,1,1.01,98.51
10577_40564,19.0395,73.0161,3,4.44,90.71
10570_40574,19.0269,73.0341,1,0.77,99.06
10579_40569,19.0431,73.0251,2,5.42,88.49
10572_40559,19.0305,73.0071,3,7.21,84.42
10565_40569,19.0179,73.0251,6,16.81,62.6
10566_40566,19.0197,73.0197,4,7.29,84.23
10571_40571,19.0287,73.0287,4,8.5,81.47
10559_40564,19.0071,73.0161,2,5.09,89.24
10571_40573,19.0287,73.0323,6,13.05,71.13
10572_40558,19.0305,73.0053,2,6.46,86.13
10574_40560,19.0341,73.0089,6,10.82,76.21
10579_40564,19.0431,73.0161,6,11.02,75.74
10573_40562,19.0323,73.0125,5,9.55,79.09
10564_40570,19.0161,73.0269,1,0.35,100.0
10577_40566,19.0395,73.0197,7,17.44,61.17
10574_40565,19.0341,73.0179,7,10.8,76.24
10581_40562,19.0467,73.0125,4,7.41,83.97
10565_40568,19.0179,73.0233,1,2.77,94.51
10574_40559,19.0341,73.0071,1,1.29,97.87
10582_40569,19.0485,73.0251,3,6.51,86.0
10576_40572,19.0377,73.0305,4,5.09,89.23
10580_40568,19.0449,73.0233,1,0.82,98.94
10560_40567,19.0089,73.0215,3,12.03,73.46
10582_40570,19.0485,73.0269,3,5.26,88.85
10576_40559,19.0377,73.0071,5,10.62,76.68
10563_40568,19.0143,73.0233,2,3.53,92.78
10574_40563,19.0341,73.0143,4,9.68,78.8
10570_40559,19.0269,73.0071,2,3.33,93.25
10571_40572,19.0287,73.0305,3,9.13,80.05
10575_40571,19.0359,73.0287,5,16.53,63.23
10580_40571,19.0449,73.0287,3,6.72,85.53
10570_40563,19.0269,73.0143,2,6.12,86.9
10581_40569,19.0467,73.0251,4,5.76,87.7
10570_40557,19.0269,73.0035,1,2.92,94.17
10570_40571,19.0269,73.0287,4,9.26,79.74
10567_40567,19.0215,73.0215,3,6.7,85.57
10570_40561,19.0269,73.0107,1,2.71,94.65
10572_40574,19.0305,73.0341,2,3.17,93.6
10582_40572,19.0485,73.0305,1,2.33,95.5
10561_40563,19.0107,73.0143,5,12.35,72.72
10567_40568,19.0215,73.0233,3,7.3,84.2
10577_40558,19.0395,73.0053,1,0.88,98.8
10575_40573,19.0359,73.0323,2,4.04,91.62
10571_40560,19.0287,73.0089,1,1.53,97.32
10562_40568,19.0125,73.0233,2,5.51,88.27
10572_40562,19.0305,73.0125,2,2.68,94.72
10580_40569,19.0449,73.0251,1,2.04,96.18
10579_40568,19.0431,73.0233,2,5.41,88.51
10576_40570,19.0377,73.0269,1,2.96,94.08
10564_40568,19.0161,73.0233,2,4.97,89.51
10575_40560,19.0359,73.0089,4,15.65,65.24
10575_40558,19.0359,73.0053,1,0.87,98.84
10580_40562,19.0449,73.0125,3,4.89,89.69
10565_40570,19.0179,73.0269,1,0.72,99.17
10576_40573,19.0377,73.0323,1,1.79,96.75
10576_40558,19.0377,73.0053,1,4.02,91.67
10577_40568,19.0395,73.0233,2,4.0,91.71
10564_40564,19.0161,73.0161,3,6.6,85.8
10564_40563,19.0161,73.0143,2,3.01,93.97
10580_40560,19.0449,73.0089,1,3.79,92.18
10582_40565,19.0485,73.0179,3,6.35,86.37
10581_40563,19.0467,73.0143,1,4.32,90.98
10582_40568,19.0485,73.0233,2,6.67,85.64
10577_40560,19.0395,73.0089,3,6.61,85.77
10581_40561,19.0467,73.0107,1,3.16,93.61
10570_40567,19.0269,73.0215,2,6.72,85.53
10563_40569,19.0143,73.0251,2,2.89,94.23
10571_40557,19.0287,73.0035,1,0.49,99.68
10559_40565,19.0071,73.0179,1,2.82,94.39
10570_40560,19.0269,73.0089,1,0.8,98.98
10580_40572,19.0449,73.0305,2,3.83,92.1
10577_40559,19.0395,73.0071,1,0.44,99.81
10581_40568,19.0467,73.0233,1,0.87,98.84
10566_40570,19.0197,73.0269,1,2.17,95.87
10583_40565,19.0503,73.0179,1,4.75,90.0
10578_40569,19.0413,73.0251,2,3.28,93.36
10569_40565,19.0251,73.0179,1,2.0,96.26
10570_40562,19.0269,73.0125,1,3.39,93.1
10576_40571,19.0377,73.0287,1,1.81,96.7
10577_40572,19.0395,73.0305,1,3.57,92.7
